id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
3923,Machine Learning,hard,Which algorithm improves ensemble learning by sequential corrections?,Bagging,Boosting,Clustering,Dropout,b,Boosting trains sequentially where each model corrects predecessor errors.
3924,Machine Learning,hard,"What is the ""vanishing gradient"" problem?",When the model's performance plateaus during training,"When the gradient becomes extremely large, leading to unstable training","When the gradient becomes extremely small, slowing down or halting the learning process",When a model's weights become zero,c,"The vanishing gradient problem occurs during backpropagation in deep neural networks. As the gradient is passed back through many layers, it can become very small, causing the weights in the earlier layers to update very slowly or not at all, which makes learning difficult."
3925,Computer Networks,medium,What is TCP (Transmission Control Protocol) primarily known for?,Being a connectionless protocol,Providing a reliable, connection-oriented service,Being a fast but unreliable protocol,used for broadcasting data,B
3926,Computer Networks,hard,Which protocol works at the Transport Layer of OSI and is connectionless?,TCP,UDP,IP,DNS,b,"UDP is a transport layer, connectionless protocol with minimal overhead and no guarantee of delivery."
3927,Cybersecurity,hard,"What is the primary function of a ""Security Information and Event Management"" (SIEM) system?",To manage user access permissions,To collect, aggregate, and analyze security data from various sources to detect threats,to encrypt a company's data,To manage network firewalls
3928,Computer Networks,medium,Which protocol allows automatic IP assignment?,DNS,FTP,DHCP,SSH,c,DHCP assigns IP dynamically.
3929,Data Structures,hard,What is the time complexity of the `dequeue` operation on a queue implemented using a circular array?,O(1),O(n),O(log n),O(n^2),a,"A circular array-based queue can perform both enqueue and dequeue operations in constant time, O(1), by simply updating the front or rear pointers (or indices)."
3930,Operating Systems,hard,Which memory scheme can cause internal fragmentation?,Fixed partitions,Segmentation,Dynamic allocation,Paging,a,Fixed partitions waste space inside allocation.
3931,Cloud Computing,medium,Which tool orchestrates containers?,Docker,VMware,Kubernetes,Terraform,c,Kubernetes orchestrates scaling and managing containers.
3932,Cloud Computing,medium,What is the difference between a public cloud and a private cloud?,A private cloud is owned by the user, a public cloud is not,A public cloud is managed by a third-party provider, a private cloud is not,a public cloud is shared among multiple organizations, while a private cloud is dedicated to a single organization
3933,Deep Learning,easy,Which activation function outputs negative to positive range?,Sigmoid,ReLU,Tanh,Softmax,c,Tanh outputs values between -1 to 1.
3934,Python,medium,What is the difference between a shallow copy and deep copy?,Both copy nested data,Shallow copies references, deep copies nested objects,Shallow is faster always,no difference,B
3935,Cybersecurity,easy,Which is an example of an authentication factor?,Password,Biometrics,OTP,All of the above,d,"Authentication factors include knowledge, possession and inherence."
3936,Computer Networks,medium,What is the purpose of ICMP protocol?,File transfer,Error reporting & diagnostics,Reliable transmission,Authentication,b,"ICMP is used for network error reporting and diagnostic purposes (e.g., ping)."
3937,SQL,hard,"What is a ""window function"" in SQL?",A function that operates on a set of rows and returns a single value,A function that operates on a set of rows and returns a value for each row,A function that is used with `GROUP BY`,A function that can only be used with subqueries,b,"A window function performs an aggregate-like calculation (like SUM or AVG) across a set of table rows that are related to the current row, returning a value for each row in the window. Unlike an aggregate function with `GROUP BY`, it does not collapse the rows into a single output row."
3938,Data Structures,easy,Which of the following is a linear data structure?,Graph,Tree,Stack,Hash Table,c,"A stack is a linear data structure following LIFO ordering, unlike graphs and trees which are non-linear."
3939,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables."""
3940,Python,easy,What is the difference between `list()` and `[]`?,`list()` is a function, `[]` is a literal,They are completely different data types,`list()` is faster,`list()` is for numbers, `[]` is for strings
3941,Computer Networks,easy,What is the purpose of DHCP (Dynamic Host Configuration Protocol)?,To convert domain names to IP addresses,To automatically assign IP addresses to devices on a network,To encrypt network traffic,To manage network security,b,"DHCP is a network protocol that automatically assigns a unique IP address and other network configuration parameters to each device on a network, saving administrators from having to do it manually."
3942,Operating Systems,easy,What is a process control block (PCB)?,A list of all processes in the system,A data structure containing a process's state and context,A memory block reserved for system processes,The area of memory where a process's code is stored,b,"A Process Control Block (PCB) is a data structure used by the OS to hold information about a process, such as its state, program counter, CPU registers, and memory management information."
3943,Machine Learning,medium,"What is a ""hyperparameter"" in machine learning?",A parameter learned by the model during training,An external parameter set before training starts,A type of feature,A metric for model evaluation,b,"Hyperparameters are external configuration settings for a machine learning algorithm. They are set manually before the training process begins (e.g., learning rate, number of trees in a random forest)."
3944,Cloud Computing,medium,Which container orchestration tool is widely used?,Docker,Kubernetes,Terraform,VMware,b,Kubernetes orchestrates containerized apps at scale.
3945,Software Engineering,medium,What is 'unit testing'?,Testing the entire system as a whole,Testing individual software components or modules,Testing the integration between two modules,Testing the user interface,b,Unit testing is a type of software testing where individual units or components of a software application are tested in isolation to ensure they function correctly.
3946,Python,medium,What is the output of `sorted([3,1,2])`?,[3,2,1],[1
3947,Cybersecurity,easy,"What is a ""zero-day"" vulnerability?",A vulnerability that has been known for years,A vulnerability that has a severity score of zero,A newly discovered vulnerability that hackers can exploit before a patch is available,A vulnerability that can only be exploited on the first day of the month,c,"A zero-day vulnerability is a software flaw that is not yet known to the vendor or the public. It can be exploited by hackers on the 'zero day' of its public discovery, before a fix is available."
3948,Python,hard,What does the __del__() method do?,Defines constructor,Destructor called on object deletion,Makes immutable object,Initializes class,b,The __del__() method is a destructor that is called when an object is garbage collected.
3949,Python,medium,What is a generator in Python?,A function that returns a value,A function that iterates over a sequence,A function that returns an iterator,A class that can be instantiated,c,A generator is a special type of function that returns an iterator. It yields a sequence of values instead of returning a single value all at once.
3950,Computer Networks,easy,Which device amplifies signals in a network?,Switch,Repeater,Router,Hub,b,Repeaters regenerate and amplify network signals.
3951,Python,medium,What is the output of `set([1,2,2,3])`?,[1,2,2
3952,Machine Learning,medium,"What is a ""hyperparameter"" in machine learning?",A parameter learned by the model during training,An external parameter set before training starts,A type of feature,A metric for model evaluation,b,"Hyperparameters are external configuration settings for a machine learning algorithm. They are set manually before the training process begins (e.g., learning rate, number of trees in a random forest)."
3953,Data Science,medium,What is feature scaling?,Reducing variables,Normalizing feature ranges,Increasing dataset size,Encoding labels,b,"Feature scaling normalizes values to uniform range, improving ML convergence."
3954,Artificial Intelligence,hard,Which agent maintains internal model of environment?,Reactive agent,Model-based agent,Learning agent,Simple reflex agent,b,Model-based agents improve decision making with internal models.
3955,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.
3956,Data Structures,easy,Which data structure is used in Depth First Search?,Stack,Queue,Heap,Array,a,DFS uses a stack.
3957,Algorithms,medium,What is the purpose of a hash function?,To find the sum of elements,To map data of arbitrary size to a fixed-size value,To sort a list of elements,To find the largest element in an array,b,A hash function is a function that takes an input (or 'key') of arbitrary size and returns a fixed-size value called a 'hash' or 'hash code'.
3958,Web Development,hard,What is the purpose of a 'closure' in JavaScript?,To prevent a variable from being garbage-collected,To encapsulate a variable and maintain its state after the outer function has returned,To make a variable globally accessible,To create a private class member,b,"A closure is the combination of a function bundled together with references to its surrounding state (its lexical environment). It gives you access to an outer function's scope from an inner function, even after the outer function has finished executing."
3959,Machine Learning,easy,What is a common task in unsupervised learning?,Classification,Regression,Clustering,Reinforcement learning,c,Clustering is a classic example of an unsupervised learning task. It involves grouping similar data points together based on their features without any predefined labels.
3960,Computer Networks,hard,What is the maximum length of an IPv6 address in bits?,32,64,128,256,c,"An IPv6 address is 128 bits long, much larger than IPv4â€™s 32-bit."
3961,Cybersecurity,easy,What is a phishing attack?,An attack that encrypts a user's files and demands a ransom,An attack that uses malware to steal data,An attack that tricks users into revealing personal information,An attack that overloads a network with traffic,c,"A phishing attack is a type of social engineering where an attacker sends a fraudulent message to trick a person into revealing sensitive information, like passwords or credit card numbers."
3962,Cybersecurity,easy,What does the acronym DDoS stand for?,Data Destruction on Demand System,Direct Denial of Service,Distributed Denial of Service,Dynamic Defense of Systems,c,DDoS stands for Distributed Denial of Service. It's an attack where multiple compromised computer systems flood a target's network with traffic to make the service unavailable to legitimate users.
3963,SQL,easy,Which SQL clause is used to return a specified number of records?,LIMIT,TOP,COUNT,OFFSET,a,The `LIMIT` clause is used in SQL to restrict the number of rows returned by a query. This is a common feature in many database systems like MySQL and PostgreSQL.
3964,Computer Networks,hard,Which protocol provides reliable byte-stream communication?,UDP,TCP,IP,ICMP,b,TCP guarantees reliable ordered byte-stream transport.
3965,Data Structures,hard,What is the time complexity of deleting a node from a binary search tree in the worst case?,O(1),O(log n),O(n),O(n^2),c,"In the worst-case scenario, a binary search tree can be unbalanced and degenerate into a linked list. In this case, finding the node to delete and its replacement can take linear time, resulting in O(n) complexity."
3966,Python,easy,What is the correct way to declare a function in Python?,def myFunc[]:,function myFunc():,def myFunc():,func myFunc():,c,Python uses the def keyword followed by the function name and parentheses.
3967,Algorithms,medium,Which algorithm is best for finding minimum spanning tree in dense graphs?,Prim,Dijkstra,Kruskal,Floyd-Warshall,a,Primâ€™s works efficiently for dense graphs.
3968,Software Engineering,hard,What is inversion of control?,Program controls framework,Framework controls flow,Memory manager control,System-level execution,b,"IoC means framework controls flow, not program."
3969,Python,easy,What is the output of print('Hello' + 'World')?,Hello World,HelloWorld,Hello,World,hello.world,B
3970,Deep Learning,easy,Which activation prevents negative outputs?,ReLU,Sigmoid,Tanh,Softmax,a,"ReLU outputs values >=0, eliminating negatives."
3971,Logic Design,medium,How many select lines are required for an 8-to-1 multiplexer?,1,2,3,8,c,"An 8-to-1 multiplexer selects one of its eight data inputs and routes it to the single output. The number of select lines (n) is related to the number of inputs (2^n) so 2^3 = 8, meaning 3 select lines are needed."
3972,Data Science,easy,Which Python library offers DataFrame?,NumPy,SciPy,Pandas,Matplotlib,c,Pandas provides DataFrame data structures for tabular data.
3973,Operating Systems,medium,Which page replacement policy uses 'recently used' information?,Optimal Algorithm,FIFO,LRU,Clock,c,LRU replaces the least recently used page.
3974,Machine Learning,medium,What is gradient descent used for?,Feature selection,Dimensionality reduction,Finding optimal parameters of a model,Handling missing data,c,Gradient descent minimizes loss functions by iteratively updating parameters in the direction of the steepest descent.
3975,Cybersecurity,hard,What is the difference between a virus and a worm?,A virus self-replicates; a worm does not,A virus needs a host program to spread; a worm can spread on its own,A virus is a type of worm,They are the same thing,b,A computer virus requires a host program (like a `.exe` file) to run and spread. A worm is a standalone malicious program that can self-replicate and spread to other computers on a network without needing a host program or human action.
3976,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.
3977,DSA,hard,What is the worst-case time complexity of Merge Sort?,O(n),O(log n),O(n log n),O(n^2),c,"The time complexity of Merge Sort is consistently O(n log n) for all cases (best, average, and worst) because it always divides the array into two halves and merges them."
3978,Python,hard,What is the purpose of the `__slots__` attribute in a class?,To prevent the creation of new attributes in an object at runtime,To define the variables of an object,To improve the performance of a class by telling Python not to create a `__dict__` for each instance,To specify the order of attributes in a class,c,"The `__slots__` attribute is a performance optimization used to tell Python not to use a `__dict__` to store instance attributes. This can significantly reduce the memory footprint of objects, especially when creating a large number of them."
3979,Algorithms,easy,What is the time complexity of linear search?,O(1),O(log n),O(n),O(n log n),c,"Linear search scans all elements, O(n)."
3980,Deep Learning,easy,Which layer reduces dimensionality in CNN?,Softmax,Pooling,ReLU,Dropout,b,Pooling layers downsample feature maps.
3981,Operating Systems,easy,Which scheduling algorithm executes processes in arrival order?,Priority,Round Robin,FIFO,SJF,c,First-In-First-Out processes based on order of arrival.
3982,Software Testing,medium,What is the difference between a bug and a defect?,A bug is a known issue, a defect is an unknown issue,They are the same thing,A defect is a flaw in the system,and a bug is the failure of the system to perform as expected due to a defect,A bug is found by a tester
3983,Data Structures,easy,Which structure implements hierarchical relationships?,Array,Queue,Graph,Tree,d,Trees are used to represent hierarchical relationships in data.
3984,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables."""
3985,Data Structures,hard,What is the purpose of an adjacency matrix in a graph?,To list all vertices and edges,To store the cost of traversing an edge,To represent the connections between vertices,To find the shortest path between two vertices,c,"An adjacency matrix is a 2D array used to represent a graph. A value of 1 or more in `matrix[i][j]` indicates an edge between vertex i"" and vertex ""j"""
3986,Python,hard,What does the `__new__` method do?,Initializes instance,Creates a new instance,Deletes an object,Handles iteration,b,`__new__` is called to create a new instance before `__init__` initializes it.
3987,Algorithms,medium,Which shortest path algorithm works with negative edges?,Dijkstra,Floyd-Warshall,Bellman-Ford,Kruskal,c,Bellman-Ford correctly handles graphs with negative edge weights.
3988,Machine Learning,hard,"What is the ""vanishing gradient"" problem?",When the model's performance plateaus during training,When the gradient becomes extremely large, leading to unstable training,When the gradient becomes extremely small,slowing down or halting the learning process,When a model's weights become zero
3989,SQL,medium,What is a composite key?,Key with duplicates,Key with two or more columns,Key with NULL values,Key without constraints,b,Composite key combines two or more columns to uniquely identify a row.
3990,Software Engineering,medium,What is cohesion?,Dependency between modules,Grouping related tasks inside module,Code duplication check,Requirement validation,b,Cohesion measures how closely tasks in a module relate.
3991,Cybersecurity,medium,What is ransomware?,A type of firewall,A form of virus stealing credentials,Malware encrypting files until ransom is paid,Phishing attack,c,Ransomware encrypts victimâ€™s files and demands payment to restore access.
3992,Data Structures,hard,What is the time complexity of deleting a node from a binary search tree in the worst case?,O(1),O(log n),O(n),O(n^2),c,"In the worst-case scenario, a binary search tree can be unbalanced and degenerate into a linked list. In this case, finding the node to delete and its replacement can take linear time, resulting in O(n) complexity."
3993,Data Structures,hard,What is the time complexity of deleting a node from a binary search tree in the worst case?,O(1),O(log n),O(n),O(n log n),c,"In the worst-case scenario, a binary search tree can be unbalanced and degenerate into a linked list. In this case, finding the node to delete and its replacement can take linear time, resulting in O(n) complexity."
3994,Cybersecurity,hard,What is the main purpose of a nonce in cryptography?,To store user credentials,To detect data integrity,To ensure uniqueness in encryption operations,To compress data,c,A nonce is a random/unique number used once to prevent replay attacks and ensure encryption freshness.
3995,Computer Networks,easy,What does the acronym IP stand for?,Internet Protocol,Inter-Process,Internal Protocol,Integrated Protocol,a,IP stands for Internet Protocol. It is the primary protocol used for routing packets of data from a source device to a destination device across a network.
3996,Web Development,medium,What is the difference between `==` and `===` in JavaScript?,`==` checks value and type, `===` checks only value,`==` checks only value, `===` checks value and type,they are exactly the same,`==` is for numbers
3997,Software Engineering,hard,What is cohesion in software design?,Interdependence among modules,Independence of modules,How related tasks inside a module are grouped,Execution speed,c,Cohesion measures the degree to which elements inside a module belong together.
3998,SQL,hard,What does the RANK() function do in SQL?,Assigns row numbers without gaps,Assigns ranking with possible gaps,Evaluates null values,Performs join operations,b,"RANK() assigns ranks to rows with gaps for ties, unlike DENSE_RANK()."
3999,Python,medium,What will `print(type(lambda x:x))` return?,function,class,lambda,object,a,"A lambda is syntactic sugar, returning a normal function object."
4000,Machine Learning,hard,"What is the ""vanishing gradient"" problem?",When the model's performance plateaus during training,When the gradient becomes extremely large, leading to unstable training,When the gradient becomes extremely small,slowing down or halting the learning process,When a model's weights become zero
4001,Data Structures,medium,What is a binary heap primarily used for?,Stacks,Priority queues,Graphs,Strings,b,Binary heaps efficiently implement priority queues.
4002,Operating Systems,medium,Which scheduling algorithm prevents starvation by aging?,Round Robin,SJF,Priority Scheduling with aging,FIFO,c,Priority scheduling with aging avoids starvation of low priority processes.
4003,Algorithms,hard,What is the average time complexity of HashMap operations?,O(1),O(n),O(n log n),O(log n),a,"HashMap provides O(1) average time for search, insert, and delete."
4004,Data Structures,medium,What is the advantage of linked lists over arrays?,Random access,Faster sorting,Dynamic size allocation,Better caching,c,Linked lists allow dynamic allocation of memory unlike arrays.
4005,Software Testing,medium,What is 'regression testing'?,Testing new features of an application,Testing the system with a large number of users,Testing to ensure that recent code changes have not introduced new bugs or broken existing functionality,Testing to find security vulnerabilities,c,Regression testing is a type of software testing that verifies that a recent code change has not negatively affected existing features of the application.
4006,Data Structures,easy,What is a Stack?,A FIFO data structure,A LIFO data structure,A random access data structure,A sequential data structure,b,"A Stack is a Last-In, First-Out (LIFO) data structure. The last item added is the first one to be removed."
4007,Machine Learning,medium,What is gradient descent used for?,Feature selection,Dimensionality reduction,Finding optimal parameters of a model,Handling missing data,c,Gradient descent minimizes loss functions by iteratively updating parameters in the direction of the steepest descent.
4008,Software Testing,hard,What is mutation testing?,Changing variables,Modifying code slightly to test test-suite strength,Reordering test-cases,Debugging code,b,Mutation testing modifies source to see if test suite detects problems.
4009,Operating Systems,easy,What is a 'thrashing' condition in an OS?,When the system is spending too much time on disk I/O to handle page faults,When the system's CPU is running at maximum capacity,When a program consumes all available RAM,When the OS is unable to boot,a,"Thrashing is a state in a virtual memory system where the system is constantly paging (swapping memory pages between RAM and disk) to handle frequent page faults, leading to poor performance."
4010,Operating Systems,hard,What is spooling?,Printing optimization,Overlapping I/O with CPU for jobs,Process starvation,Deadlock resolution,b,Spooling overlaps input/output jobs in buffer allowing concurrent operations.
4011,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables."""
4012,Python,easy,How do you convert a list to a tuple?,tuple(my_list),list_to_tuple(my_list),my_list.to_tuple(),tuple.new(my_list),a,"The built-in `tuple()` function is used to convert an iterable, like a list, into a tuple."
4013,Data Structures,hard,What is the maximum number of nodes in a binary tree of height h?,2^h,2^(h+1)-1,h^2,h!,b,"In a binary tree, maximum nodes = 2^(h+1)-1."
4014,Cybersecurity,hard,What is a rainbow table attack?,An attack using brute-force password guessing,An attack using precomputed hashes to crack passwords,An attack that floods networks with traffic,An attack that steals cookies,b,"Rainbow tables precompute password hashes, making password cracking faster than brute force."
4015,Cybersecurity,easy,What does HTTPS ensure?,Faster browsing,Data encryption,Open connections,Less storage,b,HTTPS ensures encrypted and secure communication using SSL/TLS.
4016,Python,hard,"What is a ""generator expression"" in Python?",A function that returns a generator,A list comprehension using round brackets,A special kind of for loop,A function that returns an iterable,b,"A generator expression is a concise way to create an iterator, similar to a list comprehension, but using round brackets `()` instead of square brackets `[]`."
4017,Cloud Computing,easy,What is IaaS?,Infrastructure as a Service,Information as a Service,Internet as a Service,Integration as a Service,a,"IaaS stands for Infrastructure as a Service. It provides fundamental computing resources such as virtual machines, storage, and networks over the internet."
4018,Web Development,easy,What is the correct way to link an external CSS file to an HTML document?,<style src='styles.css'>,<link href='styles.css'>,<script src='styles.css'>,<css href='styles.css'>,b,"The `<link>` tag is used in the `<head>` section of an HTML document to link to an external CSS file, using the `href` attribute to specify the file path."
4019,Algorithms,easy,What is a common use case for a Breadth-First Search (BFS)?,Finding the shortest path in an unweighted graph,Finding a path to a specific leaf node,Sorting an array,Checking for cycles in a directed graph,a,BFS is guaranteed to find the shortest path in an unweighted graph because it explores all nodes at the current level before moving to the next level.
4020,Cybersecurity,hard,What is Public Key Infrastructure (PKI) mainly for?,Securing Databases,Managing Certificates/Keys,Increasing Bandwidth,Firewalls,b,PKI manages keys and certificates for encryption/authentication.
4021,Operating Systems,medium,What is 'thrashing' in an operating system?,Excessive disk I/O due to a low number of page faults,A state where the system spends more time paging than executing,A system crash caused by too many processes,A rapid increase in CPU temperature,b,"Thrashing is a state where the system's virtual memory is over-committed, and it spends a large amount of time moving pages between RAM and disk, which significantly degrades performance."
4022,Cybersecurity,hard,What is the difference between symmetric and asymmetric encryption?,Both require same key,Symmetric uses one shared key, asymmetric uses public/private pairs,Asymmetric is always faster,symmetric is more secure,B
4023,Python,medium,What is difference between tuple and list?,Tuple mutable, Tuple allows append, List immutable, List mutable,tuple is immutable,D
4024,Cybersecurity,medium,What is social engineering?,Using encryption to hack,Tricking people into giving info,Bypassing firewalls,Password cracking,b,Social engineering manipulates people into revealing confidential info.
4025,Data Structures,easy,Which data structure uses FIFO (First In First Out) principle?,Stack,Queue,Heap,Graph,b,Queue follows FIFO ordering.
4026,Machine Learning,medium,What is the difference between classification and regression?,Classification predicts a continuous value; Regression predicts a discrete label,Classification predicts a discrete label; Regression predicts a continuous value,They are the same thing,Regression is an unsupervised task,b,"Classification models predict a discrete or categorical outcome (e.g., Spam"" or ""Not Spam""). Regression models predict a continuous or numerical outcome (e.g."
4027,Data Structures,easy,Which data structure is commonly used for implementing undo functionality?,Queue,Stack,Heap,Graph,b,Undo uses stack to reverse actions.
4028,Cloud Computing,medium,What is the difference between a public cloud and a private cloud?,A private cloud is owned by the user, a public cloud is not,A public cloud is managed by a third-party provider, a private cloud is not,a public cloud is shared among multiple organizations, while a private cloud is dedicated to a single organization
4029,Operating Systems,medium,Which page replacement policy uses 'recently used' information?,Optimal Algorithm,FIFO,LRU,Clock,c,LRU replaces the least recently used page.
4030,Data Structures,hard,What is the time complexity of searching for an element in a binary search tree in the worst case?,O(1),O(n),O(log n),O(n^2),b,"In the worst case, a binary search tree can degenerate into a linked list (e.g., if elements are inserted in sorted order), making the search operation linear, with a complexity of O(n)."
4031,Cybersecurity,medium,What is SQL injection primarily?,Adding queries to speed SQL,Injecting fake SQL commands into inputs,SQL query optimization,Encrypted SQL usage,b,SQL Injection is injecting malicious queries through input forms to exploit backend.
4032,Data Structures,easy,Which data structure is used in Depth First Search?,Stack,Queue,Heap,Array,a,DFS uses a stack.
4033,Python,easy,What is the data type of the value returned by the `input()` function?,int,str,list,tuple,b,"The `input()` function reads a line of text from the user and returns it as a string, even if the user enters a number."
4034,Algorithms,easy,Which algorithm is used for searching element in an unsorted list?,Binary Search,DFS,Linear Search,Interpolation Search,c,Linear Search is the simplest method for unsorted data.
4035,Algorithms,hard,Which algorithm is used in Huffman coding?,Greedy,Dynamic Programming,Divide and Conquer,Backtracking,a,Huffman coding is a greedy algorithm.
4036,Computer Networks,hard,Which routing protocol is path-vector?,RIP,OSPF,BGP,EIGRP,c,BGP is a path-vector routing protocol used for inter-domain routing.
4037,Cybersecurity,medium,What is penetration testing?,Performance test,Load testing,Security evaluation by simulating attacks,Firewall setup,c,Pentesting simulates real attacks to test system vulnerabilities.
4038,Cybersecurity,easy,What is spyware?,Malware spying on users,Tool for encryption,Browser plugin,Security patch,a,Spyware secretly monitors user activities.
4039,Data Structures,easy,What is a Queue?,A Last-In, First-Out (LIFO) data structure,A First-In, First-Out (FIFO) data structure,a data structure that allows random access,A non-linear data structure
4040,Cloud Computing,easy,Which service is for delivering applications online?,PaaS,IaaS,SaaS,FaaS,c,SaaS delivers apps like Google Docs or Dropbox via cloud.
4041,Software Engineering,medium,Which SDLC model is most rigid?,Agile,V-Model,Waterfall,Spiral,c,"The Waterfall model follows strict sequential phases, with little flexibility."
4042,Cybersecurity,hard,What is SQL Injection primarily used for?,Data encryption,Database exploitation,Password hashing,Compression,b,SQL Injection is used by attackers to exploit and manipulate databases by injecting malicious queries.
4043,SQL,hard,What is a 'deadlock' in a database?,A state where a transaction cannot be rolled back,A state where two or more transactions are blocked forever, waiting for each other to release resources,A state where the database server has crashed,a state where a query has timed out,B
4044,Operating Systems,easy,Which OS concept creates illusion of infinite memory?,Paging,Virtual Memory,Swapping,Scheduling,b,Virtual memory provides abstraction of infinite memory using disk as extension.
4045,Operating Systems,medium,What is the primary condition for a deadlock to occur?,Mutual Exclusion,Hold and Wait,No Preemption,All of the above,d,"A deadlock requires four conditions to occur simultaneously: Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait. If any one of these conditions is not met, a deadlock cannot occur."
4046,Machine Learning,medium,"What is a ""confusion matrix"" used for?",To visualize model performance on unseen data,To plot the training and validation loss,To evaluate the performance of a classification model,To find correlated features,c,"A confusion matrix is a table used to evaluate the performance of a classification model. It shows the number of correct and incorrect predictions for each class, including true positives, false positives, true negatives, and false negatives."
4047,Algorithms,medium,Which algorithm is used for maximum flow problem?,Prim,Kruskal,Ford-Fulkerson,Dijkstra,c,Ford-Fulkerson solves max flow problem.
4048,Python,hard,How does Python's Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
4049,Database Management,easy,What is a primary key in a database table?,A key that is unique for each record,A key used to join tables,A foreign key,A key that can have duplicate values,a,A primary key is a field (or combination of fields) that uniquely identifies each record in a database table. It must contain unique values and cannot be NULL.
4050,Machine Learning,hard,Explain the difference between a bagging and boosting ensemble method.,Bagging trains models sequentially; Boosting trains them in parallel,Bagging reduces variance; Boosting reduces bias,Bagging focuses on reducing bias; Boosting focuses on reducing variance,They are different names for the same thing,b,"Bagging (like Random Forest) trains multiple models in parallel and averages their predictions to reduce variance. Boosting (like Gradient Boosting) trains models sequentially, where each new model corrects the errors of the previous one, primarily reducing bias."
4051,Python,hard,How does Python\'s Garbage Collector primarily work?,Using a reference counting mechanism,Using a mark-and-sweep algorithm,Using a combination of reference counting and a cycle detector,Using a stop-and-copy algorithm,c,"Python primarily uses a reference counting system, but to deal with reference cycles (where objects refer to each other and their reference counts never drop to zero), it also employs a separate garbage collector that finds and collects these cycles."
4052,Cybersecurity,medium,"What is a ""brute-force"" attack?",An attack that uses a user's personal information to guess a password,An attack that repeatedly tries different passwords or keys until it finds the correct one,An attack that tricks a user into downloading malware,An attack that targets a specific application,b,A brute-force attack is a trial-and-error method used to guess a password or login information. The attacker systematically tries all possible combinations of characters until the correct one is found.
4053,Python,hard,What is a metaclass primarily used for in Python?,Defining variables,Controlling class creation,Optimizing functions,Enhancing garbage collection,b,"Metaclasses define how classes behave. A class is an instance of a metaclass, allowing customization of class creation."
4054,Algorithms,medium,Which algorithm is used for topological sorting?,DFS,BFS,Kruskal,Dijkstra,a,Topological sort is based on DFS.
4055,Algorithms,medium,Which algorithm uses dynamic programming to solve shortest path?,Dijkstra,Bellman-Ford,Floyd-Warshall,Kruskal,c,Floyd-Warshall uses DP.performance_id
4056,Python,hard,What is the GIL (Global Interpreter Lock)?,A lock on all threads that ensures only one thread executes Python bytecode at a time,A lock that prevents multiple Python processes from running simultaneously,A lock that is part of every Python object to ensure thread safety,A mechanism to manage Python's memory allocation,a,"The GIL is a mutex that protects access to Python objects, preventing multiple threads from executing Python bytecode at the same time. This means that a single-process Python application cannot fully utilize multiple CPU cores for CPU-bound tasks."
4057,Python,easy,What is the difference between `list()` and `[]`?,`list()` is a function, `[]` is a literal,They are completely different data types,`list()` is faster,`list()` is for numbers, `[]` is for strings
4058,Python,medium,What is difference between tuple and list?,Tuple mutable, Tuple allows append, List immutable, List mutable,tuple is immutable,D
4059,Algorithms,easy,Which algorithm is used in minimum spanning tree?,Primâ€™s,Dijkstra,BFS,DFS,a,Primâ€™s is one MST algorithm.
4060,Data Structures,medium,What is the advantage of linked lists over arrays?,Random access,Faster sorting,Dynamic size allocation,Better caching,c,Linked lists allow dynamic allocation of memory unlike arrays.
4061,DSA,easy,What is the time complexity of pushing an element to a stack?,O(n),O(log n),O(1),O(n^2),c,"A push operation on a stack is a constant time operation, O(1), because you only need to add an element to the top, which takes a single step regardless of the stack's size."
